CN;Heilongjiang;Songjiang;46.8344;130.432
FR;Auvergne-Rhône-Alpes;Malicorne;46.3018;2.78218
FR;Auvergne-Rhône-Alpes;Saint-Gervais-d'Auvergne;46.0292;2.81901
FR;Auvergne-Rhône-Alpes;Cusset;46.1345;3.45639
FR;Auvergne-Rhône-Alpes;Creuzier-le-Vieux;46.1625;3.43311
FR;Auvergne-Rhône-Alpes;Vichy;46.1271;3.42577
FR;Auvergne-Rhône-Alpes;Moulins;46.5646;3.33243
FR;Auvergne-Rhône-Alpes;Bressolles;46.5309;3.31654
FR;Auvergne-Rhône-Alpes;Villefranche-d'Allier;46.3965;2.85717
FR;Auvergne-Rhône-Alpes;Servant;46.1389;2.92903
FR;Auvergne-Rhône-Alpes;Arfeuilles;46.1561;3.72758
FR;Auvergne-Rhône-Alpes;Saint-Pourçain-sur-Sioule;46.3075;3.28931
FR;Auvergne-Rhône-Alpes;Le Mayet-de-Montagne;46.0709;3.66665
FR;Auvergne-Rhône-Alpes;Saint-Gérand-le-Puy;46.2579;3.5121
FR;Auvergne-Rhône-Alpes;Bellerive-sur-Allier;46.1165;3.40406
FR;Auvergne-Rhône-Alpes;Étroussat;46.2186;3.22106
FR;Auvergne-Rhône-Alpes;Serbannes;46.0987;3.35868
FR;Auvergne-Rhône-Alpes;Avermes;46.5877;3.3072
FR;Auvergne-Rhône-Alpes;Bourbon-l'Archambault;46.5832;3.05652
FR;Auvergne-Rhône-Alpes;Yzeure;46.566;3.35446
FR;Auvergne-Rhône-Alpes;Neuilly-le-Réal;46.4641;3.43197
FR;Auvergne-Rhône-Alpes;Saint-Hilaire;46.4945;3.0201
FR;Centre-Val de Loire;Sancoins;46.8331;2.92238
FR;Auvergne-Rhône-Alpes;Lapeyrouse;46.2241;2.87216
FR;Auvergne-Rhône-Alpes;Marcillat-en-Combraille;46.1672;2.63336
FR;Auvergne-Rhône-Alpes;Vallon-en-Sully;46.5363;2.60804
FR;Auvergne-Rhône-Alpes;Montmarault;46.3174;2.95472
FR;Auvergne-Rhône-Alpes;Lavault-Sainte-Anne;46.31;2.60027
FR;Nouvelle-Aquitaine;Évaux-les-Bains;46.1748;2.48546
FR;Auvergne-Rhône-Alpes;Menat;46.1038;2.90442
FR;Auvergne-Rhône-Alpes;Saint-Prix;46.232;3.651
FR;Auvergne-Rhône-Alpes;Magnet;46.2127;3.50377
FR;Auvergne-Rhône-Alpes;Charmeil;46.1613;3.39304
FR;Auvergne-Rhône-Alpes;Paray-sous-Briailles;46.2904;3.36513
FR;Nouvelle-Aquitaine;Poitiers;46.5798;0.341688
FR;Nouvelle-Aquitaine;Chauvigny;46.5698;0.64346
FR;Nouvelle-Aquitaine;Gouzon;46.1919;2.23889
FR;Nouvelle-Aquitaine;La Mothe-Saint-Héray;46.3609;-0.11319
FR;Nouvelle-Aquitaine;Neuvy-Bouin;46.6761;-0.46011
FR;Nouvelle-Aquitaine;Boësse;46.9763;-0.47284
FR;Nouvelle-Aquitaine;Châteauponsac;46.1342;1.27495
FR;Nouvelle-Aquitaine;Bonneuil-Matours;46.6819;0.56968
FR;Nouvelle-Aquitaine;La Puye;46.6428;0.75164
FR;Nouvelle-Aquitaine;Béthines;46.5472;0.97587
FR;Nouvelle-Aquitaine;Taizé;46.925;-0.11549
FR;Nouvelle-Aquitaine;Saint-Aubin-le-Cloud;46.6521;-0.35384
FR;Pays de la Loire;Martinet;46.6765;-1.67952
FR;Pays de la Loire;Vouvant;46.5723;-0.76941
FR;Pays de la Loire;Landeronde;46.6579;-1.57117
FR;Pays de la Loire;L'Île-d'Yeu;46.7252;-2.34936
FR;Pays de la Loire;Bouin;46.9742;-1.99846
FR;Pays de la Loire;La Faute-sur-Mer;46.3319;-1.32222
FR;Pays de la Loire;Maillezais;46.3723;-0.73914
FR;Pays de la Loire;Avrillé;46.4692;-1.4927
FR;Pays de la Loire;Fontenay-le-Comte;46.4667;-0.80624
FR;Pays de la Loire;Les Herbiers;46.8709;-1.0156
FR;Pays de la Loire;Belleville-sur-Vie;46.7829;-1.4307
FR;Pays de la Loire;Saint-Laurent-sur-Sèvre;46.9586;-0.8934
FR;Pays de la Loire;Barbâtre;46.9436;-2.17981
FR;Pays de la Loire;Le Fenouiller;46.7195;-1.90037
FR;Pays de la Loire;Pouzauges;46.7824;-0.83794
FR;Pays de la Loire;Velluire;46.4047;-0.89412
FR;Pays de la Loire;Benet;46.3678;-0.59756
FR;Pays de la Loire;Saint-Georges-de-Pointindoux;46.6446;-1.62271
FR;Pays de la Loire;La Roche-sur-Yon;46.6697;-1.42757
FR;Pays de la Loire;Treize-Septiers;46.985;-1.23029
FR;Pays de la Loire;Dompierre-sur-Yon;46.7386;-1.38785
FR;Pays de la Loire;La Guyonnière;46.9648;-1.25059
FR;Pays de la Loire;Sainte-Florence;46.7969;-1.15321
FR;Pays de la Loire;Le Poiré-sur-Vie;46.7687;-1.50911
FR;Pays de la Loire;Aizenay;46.7405;-1.60911
FR;Pays de la Loire;La Jaudonnière;46.6431;-0.96331
FR;Pays de la Loire;Chantonnay;46.6872;-1.05109
FR;Pays de la Loire;Chambretaud;46.9218;-0.96559
FR;Pays de la Loire;Rochetrejoux;46.789;-0.99609
FR;Pays de la Loire;Vieillevigne;46.9715;-1.43446
IT;Friuli Venezia Giulia;Feletto Umberto;46.1032;13.222
IT;Friuli Venezia Giulia;Osoppo;46.2554;13.0845
IT;Trentino-Alto Adige;San Giacomo;46.4562;11.3336
IT;Lombardy;Carona;46.0215;9.78494
