CN;Inner Mongolia;Hulun Buir;49.2114;119.756
FR;Hauts-de-France;Mézières-en-Santerre;49.7871;2.55477
FR;Hauts-de-France;Corbie;49.9067;2.50682
FR;Hauts-de-France;Bohain-en-Vermandois;49.9873;3.453
FR;Hauts-de-France;Villers-Bocage;49.9981;2.31683
FR;Hauts-de-France;Vendeuil;49.7154;3.35216
FR;Hauts-de-France;Béthisy-Saint-Pierre;49.3048;2.79636
FR;Hauts-de-France;Saint-André-Farivillers;49.5871;2.29137
FR;Hauts-de-France;Sissonne;49.5711;3.89369
FR;Hauts-de-France;Corbeny;49.4627;3.82309
FR;Hauts-de-France;Rollot;49.5905;2.65395
FR;Hauts-de-France;Longueil-Sainte-Marie;49.3572;2.71844
FR;Hauts-de-France;Viry-Noureuil;49.6321;3.24322
FR;Hauts-de-France;Ognes;49.6124;3.1934
FR;Hauts-de-France;Buironfosse;49.9666;3.83587
FR;Hauts-de-France;Lesdins;49.8973;3.33062
FR;Hauts-de-France;Ribemont-sur-Ancre;49.95;2.56667
FR;Hauts-de-France;Beaucamps-le-Vieux;49.8464;1.78272
FR;Hauts-de-France;Cires-lès-Mello;49.2724;2.3584
FR;Hauts-de-France;Bourg-et-Comin;49.3969;3.6544
FR;Hauts-de-France;Moreuil;49.7746;2.48273
FR;Hauts-de-France;Holnon;49.8609;3.21509
FR;Grand Est;Saint-Germainmont;49.5085;4.13247
FR;Hauts-de-France;Tergnier;49.6561;3.30107
FR;Hauts-de-France;Cuvilly;49.5541;2.69467
FR;Hauts-de-France;Bouttencourt;49.9372;1.63431
FR;Hauts-de-France;Laboissière-en-Thelle;49.2933;2.1615
FR;Hauts-de-France;Cempuis;49.6595;1.99112
FR;Hauts-de-France;Feuquières;49.6468;1.84784
FR;Hauts-de-France;Saint-Maximin;49.2218;2.45359
FR;Hauts-de-France;Laigneville;49.2915;2.44581
FR;Hauts-de-France;Monchy-Saint-Éloi;49.2904;2.46739
FR;Hauts-de-France;Creil;49.2567;2.48477
FR;Hauts-de-France;Noyon;49.5833;3
FR;Hauts-de-France;Pommiers;49.3931;3.27297
FR;Hauts-de-France;Senarpont;49.8886;1.71972
FR;Hauts-de-France;Rosières-en-Santerre;49.8143;2.70095
FR;Hauts-de-France;Roye;49.7004;2.78959
FR;Hauts-de-France;Montdidier;49.648;2.56991
FR;Île-de-France;Saint-Pathus;49.0714;2.79886
FR;Île-de-France;Lizy-sur-Ourcq;49.0245;3.02178
LU;Esch-sur-Alzette;Bettembourg;49.5192;6.10025
CA;British Columbia;Vancouver;49.2827;-123.121
DE;Hesse;Alsbach-Hähnlein (Hähnlein);49.7347;8.57613
DE;Baden-Wurttemberg;Karlsruhe (Nordweststadt);49.0291;8.35696
LU;Capellen;Kleinbettingen;49.6464;5.91639
LU;Capellen;Mamer;49.64;6.00929
LU;Capellen;Capellen;49.645;5.99083
