PG;Morobe Province;Garaina;-7.88818;147.134
PE;Cajamarca Department;Llacanora;-7.19362;-78.4267
TV;Nui;Tanrake Village;-7.10954;177.649
ID;Central Java;Magelang;-7.40606;110.233
ID;East Java;Jagirsidosermo;-7.29436;112.739
BR;Pernambuco;Aliança;-7.59764;-35.2309
BR;Pernambuco;Aliança;-7.60333;-35.2308
BR;Pernambuco;Vicência;-7.65694;-35.3267
BR;Pernambuco;Ferreiros;-7.4475;-35.2442
ID;Central Java;Wulung;-7.1932;111.397
ID;East Java;Madiun;-7.63104;111.501
ID;Central Java;Surakarta;-7.57549;110.824
ID;Central Java;Ungaran;-7.13972;110.405
BR;Acre;Mâncio Lima;-7.61417;-72.8958
ID;East Java;Prapen;-7.31453;112.757
ID;West Java;Sukamulya;-7.37793;108.289
ID;Central Java;Purworejo;-7.75295;110.004
ID;West Java;Haurpanggung;-7.2056;107.905
ID;East Java;Gubengairlangga;-7.28322;112.769
ID;East Java;Kediri;-7.81667;112.017
ID;East Java;Jagirsidosermo;-7.29345;112.755
ID;Yogyakarta;Wonosari;-7.9575;110.665
ID;East Java;Surabaya;-7.23757;112.741
ID;East Java;Singosari;-7.88588;112.61
ID;East Java;Ponorogo;-7.8685;111.462
ID;East Java;Surabaya;-7.24917;112.751
ID;Central Java;Selogiri;-7.78333;110.867
ID;Central Java;Sukoharjo;-7.6725;110.838
ID;Central Java;Jatiroto;-7.88333;111.117
ID;Central Java;Trucuk;-7.71833;110.659
ID;Central Java;Surakarta;-7.55611;110.832
ID;Central Java;Grogol;-7.60111;110.819
ID;Central Java;Ceper;-7.67417;110.679
ID;Central Java;Boyolali;-7.53306;110.596
ID;Central Java;Karanganyar;-7.59833;110.944
ID;Central Java;Sragen;-7.42639;111.022
ID;Central Java;Colomadu;-7.53333;110.75
ID;Central Java;Kebonarun;-7.70028;110.563
ID;Central Java;Klaten;-7.70583;110.606
ID;Central Java;Wonogiri;-7.81444;110.921
ID;Central Java;Baki;-7.61278;110.784
ID;Central Java;Jaten;-7.57722;110.897
ID;Central Java;Purwodadi Grobogan;-7.0868;110.916
ID;Central Java;Mranggen;-7.0268;110.516
ID;Central Java;Wedi;-7.74306;110.579
ID;West Java;Pameungpeuk;-7.01833;107.604
ID;East Java;Caruban;-7.5447;111.657
ID;Yogyakarta;Yogyakarta;-7.80139;110.365
ID;Central Java;Sokaraja;-7.45806;109.288
ID;Yogyakarta;Sewon;-7.87639;110.359
ID;Yogyakarta;Godean;-7.76972;110.294
ID;Yogyakarta;Sleman;-7.71556;110.356
ID;Yogyakarta;Pugeran Maguwoharjo;-7.76738;110.421
ID;Yogyakarta;Depok;-7.7625;110.432
ID;East Java;Tanggulangin;-7.49958;112.7
ID;East Java;Pandaan;-7.65268;112.688
ID;East Java;Sidoarjo;-7.4478;112.718
ID;East Java;Wonorejo;-7.31138;112.797
ID;East Java;Jagirsidosermo;-7.30678;112.755
ID;East Java;Wadungasri;-7.3451;112.768
ID;East Java;Tulangan Utara;-7.4737;112.65
ID;East Java;Kedungpeluk;-7.4824;112.755
ID;East Java;Surabaya;-7.25747;112.752
ID;East Java;Medokanayu;-7.3256;112.799
ID;East Java;Gedangan;-7.39083;112.727
ID;East Java;Malang;-7.9797;112.63
ID;East Java;Singosari;-7.8924;112.666
ID;East Java;Batu;-7.87;112.528
ID;East Java;Lawang;-7.8353;112.695
ID;East Java;Prigen;-7.68333;112.617
ID;Central Java;Salatiga;-7.33194;110.493
ID;Central Java;Wonosobo;-7.35889;109.903
ID;East Java;Bangil;-7.59939;112.819
ID;East Java;Pasuruan;-7.6453;112.908
ID;West Java;Sindangbarang;-7.4516;107.135
ID;West Java;Paseh;-7.068;107.794
ID;West Java;Ciomas;-7.1783;108.169
ID;West Java;Cimanggu Hilir;-7.0039;108.259
ID;West Java;Nangkaruka;-7.4331;107.646
ID;West Java;Cijulang;-7.7273;108.473
ID;West Java;Cibuah;-7.0268;108.566
ID;West Java;Langkaplancar;-7.3777;108.614
ID;West Java;Warungsimpang;-7.0131;107.141
ID;Central Java;Magelang;-7.47056;110.218
ID;Central Java;Mungkid;-7.5925;110.219
ID;Central Java;Temanggung;-7.31917;110.193
ID;Central Java;Kutoarjo;-7.71694;109.913
ID;West Java;Bunisakit;-7.2487;107.822
ID;West Java;Margasari;-7.2214;108.192
ID;West Java;Cibenda;-7.6806;108.551
ID;West Java;Pasirbatang;-7.3631;108.358
ID;West Java;Suci Kidul;-7.2175;107.923
ID;West Java;Pangkalan;-7.1773;107.884
ID;Central Java;Purwokerto;-7.42139;109.234
ID;Central Java;Tanjungsari;-7.3009;108.768
ID;Yogyakarta;Melati;-7.73333;110.367
ID;Yogyakarta;Wonosari;-7.96556;110.604
ID;Yogyakarta;Pundong;-7.95222;110.349
ID;Yogyakarta;Wates;-7.85722;110.157
ID;Central Java;Candi Prambanan;-7.75;110.494
ID;Yogyakarta;Gamping Lor;-7.79556;110.326
ID;Yogyakarta;Kasihan;-7.82694;110.329
ID;Central Java;Gombong;-7.60722;109.514
ID;Central Java;Ambarawa;-7.26333;110.397
ID;East Java;Ombul;-7.15074;113.498
ID;East Java;Kebomas;-7.16667;112.633
ID;East Java;Sumenep;-7.01152;113.86
ID;East Java;Bondowoso;-7.91346;113.821
ID;East Java;Sukorejo;-7.9603;114.002
ID;East Java;Probolinggo;-7.7543;113.216
ID;East Java;Kalibuntu;-7.7361;113.417
ID;East Java;Kebonagung Krajan;-7.7477;113.449
ID;East Java;Kraksaan;-7.75845;113.396
ID;East Java;Pakuniran;-7.80854;113.508
ID;East Java;Sitimerto;-7.76761;112.087
ID;East Java;Pamolokan;-7.00104;113.87
ID;East Java;Krajan Wetan Wonojoyo;-7.82276;112.079
ID;East Java;Duwe;-7.8742;114.001
ID;East Java;Driyorejo;-7.3659;112.622
ID;East Java;Sedatigede;-7.3768;112.762
ID;East Java;Gubengairlangga;-7.2729;112.757
ID;East Java;Tambaksumur;-7.3485;112.773
ID;East Java;Mulyorejo;-7.26287;112.784
ID;East Java;Wedoro;-7.35111;112.751
